userId,movieId,rating,timestamp,datetime,year,month,day_of_week
4676,817,3.5,1077943989,2004-02-28 04:53:09,2004,2,5
4656,75,4.5,1184043514,2007-07-10 04:58:34,2007,7,1
798,90,3.5,1260152825,2009-12-07 02:27:05,2009,12,0
2965,979,3.0,1189852590,2007-09-15 10:36:30,2007,9,5
2104,575,4.0,1457366814,2016-03-07 16:06:54,2016,3,0
12,43,2.5,1552352632,2019-03-12 01:03:52,2019,3,1
3838,137,3.0,1292623007,2010-12-17 21:56:47,2010,12,4
336,570,2.5,1010866047,2002-01-12 20:07:27,2002,1,5
1133,718,4.0,969038222,2000-09-15 17:17:02,2000,9,4
1659,537,2.5,1099645935,2004-11-05 09:12:15,2004,11,4
392,189,0.5,1418651494,2014-12-15 13:51:34,2014,12,0
4659,66,4.5,1499299524,2017-07-06 00:05:24,2017,7,3
2075,696,1.0,1020925654,2002-05-09 06:27:34,2002,5,3
2292,93,3.0,1187772547,2007-08-22 08:49:07,2007,8,2
2740,602,1.5,1466340386,2016-06-19 12:46:26,2016,6,6
2902,879,1.5,1473948114,2016-09-15 14:01:54,2016,9,3
3095,951,0.5,1275905663,2010-06-07 10:14:23,2010,6,0
4543,552,4.0,1130131177,2005-10-24 05:19:37,2005,10,0
11,514,3.5,1035271339,2002-10-22 07:22:19,2002,10,1
3666,356,4.0,1342182704,2012-07-13 12:31:44,2012,7,4
2797,278,1.0,1362176645,2013-03-01 22:24:05,2013,3,4
4263,426,2.0,1151126279,2006-06-24 05:17:59,2006,6,5
3138,24,2.5,1241153645,2009-05-01 04:54:05,2009,5,4
4834,760,1.5,1004982713,2001-11-05 17:51:53,2001,11,0
239,187,4.0,1342702223,2012-07-19 12:50:23,2012,7,3
2127,92,4.0,1283969589,2010-09-08 18:13:09,2010,9,2
4645,476,3.0,995835160,2001-07-22 20:52:40,2001,7,6
4055,578,4.0,958695401,2000-05-19 00:16:41,2000,5,4
2907,964,2.0,1401571869,2014-05-31 21:31:09,2014,5,5
2061,130,2.0,1210340018,2008-05-09 13:33:38,2008,5,4
2382,378,2.5,1231516314,2009-01-09 15:51:54,2009,1,4
3717,503,3.0,1358485504,2013-01-18 05:05:04,2013,1,4
988,667,3.0,1241431166,2009-05-04 09:59:26,2009,5,0
3162,715,4.0,1295222042,2011-01-16 23:54:02,2011,1,6
598,626,4.0,1148833905,2006-05-28 16:31:45,2006,5,6
1285,498,4.5,1517658982,2018-02-03 11:56:22,2018,2,5
4524,4,2.0,1525170151,2018-05-01 10:22:31,2018,5,1
2398,616,3.5,984194522,2001-03-10 03:22:02,2001,3,5
4366,352,3.0,1048010243,2003-03-18 17:57:23,2003,3,1
221,527,3.0,1461873300,2016-04-28 19:55:00,2016,4,3
110,762,1.0,1300698603,2011-03-21 09:10:03,2011,3,0
4944,559,3.0,1378247537,2013-09-03 22:32:17,2013,9,1
4451,188,4.0,1526508629,2018-05-16 22:10:29,2018,5,2
4912,323,3.5,1419853860,2014-12-29 11:51:00,2014,12,0
1462,429,5.0,1263758974,2010-01-17 20:09:34,2010,1,6
2810,674,3.5,1476646407,2016-10-16 19:33:27,2016,10,6
392,304,3.5,1452558177,2016-01-12 00:22:57,2016,1,1
4279,272,1.5,1222862241,2008-10-01 11:57:21,2008,10,2
3082,893,1.5,1323655211,2011-12-12 02:00:11,2011,12,0
688,299,4.5,1451269557,2015-12-28 02:25:57,2015,12,0
601,5,5.0,1353422581,2012-11-20 14:43:01,2012,11,1
